id,name
817307,Kelly Oubre Jr.
987613,P.J. Washington
817147,Gordon Hayward
885208,Dennis Smith Jr.
1181229,Mark Williams
1092907,Nick Richards
903020,Theo Maledon
989016,Cody Martin
1180196,Bryce McGowens
940776,Sviatoslav Mykhailiuk
1133782,James Bouknight
1134020,JT Thor
1133786,Kai Jones
905866,Kobi Simmons
816985,Bradley Beal
885215,Kyle Kuzma
817330,Kristaps Porzingis
1134115,Corey Kispert
885209,Monte Morris
913627,Deni Avdija
817458,Delon Wright
989026,Daniel Gafford
1134112,Jordan Goodwin
956516,Kendrick Nunn
1178665,Johnny Davis
1415757,Jay Huff
1092921,Devon Dotson
1180783,Xavier Cooks
817109,Taj Gibson
905681,Anthony Gill
1134118,Isaiah Todd
1132141,Jordan Schakel
1184917,Vernon Carey
885252,Donovan Mitchell
987161,Darius Garland
1133830,Evan Mobley
885222,Jarrett Allen
846936,Caris LeVert
905877,Cedi Osman
1092915,Isaac Okoro
987560,Dean Wade
1092900,Lamar Stevens
817354,Ricky Rubio
817121,Danny Green
817293,Raul Neto
1396473,Sam Merrill
817237,Robin Lopez
1409308,Mamadi Diakite
1178134,Isaiah Mobley
987564,Dylan Windler
846971,Pascal Siakam
846972,Fred VanVleet
885250,OG Anunoby
1133784,Scottie Barnes
940761,Gary Trent Jr.
846973,Jakob Pöltl
905844,Chris Boucher
1092863,Precious Achiuwa
817328,Otto Porter Jr.
816979,Will Barton
817463,Thaddeus Young
1092937,Malachi Flynn
846915,Juancho Hernangomez
1181314,Christian Koloko
1133795,Dalano Banton
1132119,Jeff Dowtin
1179581,Ron Harper
1133165,Joe Wieskamp
885207,Lauri Markkanen
817034,Jordan Clarkson
817306,Kelly Olynyk
846933,Kris Dunn
940769,Collin Sexton
987559,Luka Šamanić
1178591,Walker Kessler
987343,Talen Horton-Tucker
1182725,Ochai Agbaji
817464,Cody Zeller
861512,Simone Fontecchio
817106,Rudy Gay
1178022,Johnny Juzang
998860,Juan Toscano-Anderson
846919,Damian Jones
1092867,Udoka Azubuike
1132139,Micah Potter
987611,Jarrell Brantley
885206,Frank Jackson
817017,Jimmy Butler
885218,Bam Adebayo
988789,Tyler Herro
817239,Kyle Lowry
990002,Max Strus
990763,Caleb Martin
817305,Victor Oladipo
958896,Gabe Vincent
817238,Kevin Love
945092,Duncan Robinson
972549,Haywood Highsmith
1084054,Nikola Jović
1180021,Jamal Cain
817144,Udonis Haslem
1121280,Ömer Yurtseven
1178047,Jamaree Bouyea
940807,Mikal Bridges
817065,Spencer Dinwiddie
1132146,Dru Smith
988302,Cameron Johnson
989006,Nicolas Claxton
905919,Royce O'Neale
846909,Dorian Finney-Smith
846949,Ben Simmons
817049,Seth Curry
817140,Joe Harris
1134019,Cam Thomas
942986,Yuta Watanabe
817270,Patty Mills
885229,Edmond Sumner
1183963,David Duke
1134015,Day'Ron Sharpe
817296,Nerlens Noel
996152,Moses Brown
1412285,Dru Smith
1179538,Alondes Williams
1181231,Paolo Banchero
905191,Franz Wagner
940800,Wendell Carter Jr.
885237,Markelle Fultz
1092865,Cole Anthony
817139,Gary Harris
1134017,Jalen Suggs
987099,Bol Bol
940759,Moritz Wagner
987103,Chuma Okeke
1178446,Caleb Houstan
1094164,Kevon Harris
885228,Jonathan Isaac
989029,Admiral Schofield
958769,Goga Bitadze
817025,Michael Carter-Williams
